 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
;Chinese Grass;Кисло-сладкий вкус с нотами трав;"Травянистый, кисло-сладкий вкус, который отлично подходит для гастрономических миксов. Насыщенный и яркий аромат, не перебивающий собой другие компоненты микса, - верное решение для создания новых оттенков, делающих Ваш микс незабываемым. 
";;2;;;;;
;Citrus Mix;Цитрусы;"Сладкая ароматика спелых, солнечных фруктов отлично подойдет как для создания новых миксов, так и для курения в соло. Citrus Mix имеет не навязчивую сладость и приятную кислинку. 
";;2;;;;;
;Cookies&Milk;Молочное печенье;"Сливочный вкус сладкого песочного печенья с молочными нотками прямиком из детства. Легкий и ненавязчивый аромат молочного печенья является одним из самых сбалансированных десертных ароматов на рынке. Подходит для курения в чистом виде, так и для создания ягодных, фруктовых, алкогольных и десертных миксов.
";;2;;;;;
;Current Crush;Смородина;"Насыщенный вкус немного терпкой, натуральной и давно уже всем полюбившейся черной смородины. Уникальный вкус, который не похож на то, что вы пробовали раньше. Яркая сладость и освежающая кислинка покорят вас с первого же вдоха. Вкус отлично сочетается с другими ягодными, свежими и десертными вкусами, но не менее хорош и в соло.
";;2;;;;;
;Dezzert Cherry;Вишня;"Яркий вкус спелой вишни - отличное решение для создания ягодных, сладких миксов. Интересные детали и необычные оттенки Dezzert Cherry позволят Вам взглянуть на ароматику вишни с новых ракурсов. 
";;2;;;;;
;Dragon Mix;Питайя Айва;"Вкус сочного драконьего фрукта в сочетании со спелой айвой, впечатлит даже самого искушенного гурмана свежей экзотической палитрой
";;2;;;;;
;Duchess;Дюшес Лимонад;"Насыщенный вкус грушевого лимонада, знакомый с детства. Многогранность груши создает полноценную вкусовую палитру со свойственной ей сладостью и нотками фруктовых ароматов.
";;2;;;;;
;Energy Storm;Энергетик;"Яркий аромат с цитрусовыми нотами. Отлично подойдет для тех, кто любит вкус энергетика.
";;2;;;;;
;Epic Mint;Мята;"Очень яркий и насыщенный аромат мяты. Epic Mint занимает одно из лидирующих мест в своем вкусовом сегменте, благодаря небывалой свежести и ядерному аромату свежей мяты.
";;2;;;;;
;Fire Wine;Пряное вино;"Пряный, с выраженной сладостью вкус красного вина. Отлично подходит для гастрономических миксов. Обладает выдержанной сладостью и приятным привкусом благородных винных напитков.
";;2;;;;;
;Forest Mix;Ягоды;"Сочетание лесных ягод, обладающее не приторной сладостью и многогранностью вкуса. Forest Mix имеет разнообразные ароматические оттенки, которые, складываясь вместе, создают общую картину - контрастную, но гармоничную.
";;2;;;;;
;Gazpacho;Томаты;"Необычный гастрономический вкус запеченных томатов. Gazpacho отлично сочетается с пряностями и дает возможность создавать интересные миксы. Запеченные томаты от Spectrum имеют многогранный вкус, который сочетает в себе ароматику печеных помидоров и солоноватость.
";;2;;;;;
;Granny Apple;Яблоко;"Granny Apple обладает не приторной сладостью и приятной кислинкой, что создает интересный контраст, подчеркивающий новые ароматические оттенки. Зеленое яблоко отлично подходит для фруктовых миксов, где на второстепенном плане играет кислинка.
";;2;;;;;
;Grape Soda;Виноград Лимонад;"Вкус виноградной газировки, легкий и ненавязчивый. Сладкая, виноградная Grape Soda отлично сочетается с различными ягодами и фруктами. Вкус прекрасно миксуется, не перебивает своей ароматикой другие компоненты, а также приятен при курении в соло. 
";;2;;;;;
;Green Pop;Лимонад Лед;"Освежающий вкус кисло-сладкого лимонада с кусочками льда, напоминающий всеми известный лимонад Mountain Dew с добавлением сладко-травянистой мяты. Яркий цитрусовый вкус, который идеально курится в соло и миксах.
";;2;;;;;
;Greenwich;Грейпфрут Личи;"Аромат натурального плода личи с нотами цитрусов и превосходным цветочным оттенком перенесет вас на самые желанные географические координаты
";;2;;;;;
;Honeycomb;Фруктовый Мёд;"Сладкий, слегка терпкий аромат цветочного меда с оттенками свежих и сочных фруктов. Удивительно натуральный вкус, способный поразить самых искушенных ценителей, кому давно могли надоесть привычные ягодные и фруктовые ароматы. Фруктовый мед несомненно украсит любой ваш микс и внесет в него новые, интересные нотки. Отлично подойдет для гастрономических и десертных сочетаний.
";;2;;;;;
;Ice Fruit Gum;Фрукты Жевачка;"Вкус, отлично подходящий для сладких миксов. Благодаря яркой, насыщенной, фруктовой ароматике Ice Fruit Gum является одним из самых популярных вкусов Spectrum. Сладость фруктов гармонично переплетается со свежестью и создает яркий тандем, который подходит как для миксов, так и для курения в соло.
";;2;;;;;
;Jasmine Tea;Жасмин Чай;"Мягкий вкус зеленого чая со сладкими цветками жасмина. В меру сладкий и травянистый. По-разному раскрывается на низком и высоком температурном режиме, позволяя играть с вкусовыми нотами благодаря перепадам температуры. Можно использовать в чайных, ягодных, фруктовых и травянистых сочетаниях.
";;2;;;;;
;Jungle Mix;Тропические Фрукты;"Яркие и насыщенные тропические фрукты, обладающие сладостью с еле заметной кислинкой на задних тонах. Переплетающиеся ароматы спелого ананаса, банана и цитрусов отлично подойдут для курения в соло или создания сладких, насыщенных миксов. 
";;2;;;;;
;Lemon Hurricane;Лимон;"Освежающий, в меру сладкий вкус лимонных леденцов, которые дарят ощущение максимальной лёгкости. Очень схож со вкусом леденцов, которые вы выбираете из полной миски разноцветных конфет. Сочный аромат, который буквально обволакивает ваши рецепторы ярким вкусом сладости и лимона, идеально подходит для напиточных и десертных миксов.
";;2;;;;;
;Morning Mango;Манго каша;"Интересный вкус овсянной каши в сочетании с манго. Очень мягкий и ненавязчивый Morning Mango не только отлично миксуется с самыми разнообразными вкусами, но и прекрасно курится в соло. Округлость и законченность ароматической составляющей делает завтрак из овсяной каши с кусочками манго одним из топовых вкусов Spectrum.
";;2;;;;;
;Oblepiha;Облепиха;"В меру сладкий вкус облепихи, который отличается своей яркостью. Необычный, проработанный привкус облепихового варенья подчеркивает ароматику ягоды и создает интересные оттенки, придающие вкусу законченность и полноценность.  
";;2;;;;;
;Pineapple Boom;Ананас Цитрус;"Яркий вкус спелого тропического ананаса в сочетании с цитрусовыми ароматами создает взрывной вкус жаркого лета. Манящая кислинка, которая постепенно перетекает в приятную сладость в послевкусии сведут с ума любителя фруктовых сочетаний. Ароматика Pineapple Boom настолько правдоподобно передает запах настоящей спелой мякоти ананаса, то ее невозможно отличить, если закрыть глаза.
";;2;;;;;
;Punch;Пунш Ягоды;"Сладкий и яркий вкус пунша. Отлично сочетается с фруктовыми и десертными вкусами. Сладость Punch не приторная, не перебивает ароматику других вкусов и отлично подходит для создания самых разнообразных миксов. 
";;2;;;;;
;Red Berry;Ягоды;"Ягодный вкус, подходящий для кисло-сладких миксов или курения в соло. Red Berry обладает насыщенным, сладким ароматом красных садовых ягод в сочетании с приятной кислинкой. 
";;2;;;;;
;Russian Raspberry;Малина Клубника;"Сочетание сочной малины и сладкой клубники - ароматы многим знакомые с детства. Легкий вкус, который внесет яркие краски в любой микс. Прекрасно раскрывается в десертных и коктейльных миксах.
";;2;;;;;
;Rye Bread;Ржаной хлеб;"Необычный гастрономический вкус, отлично сочетающийся с пряными ароматами. Rye Bread раскрывается в процессе курения и приобретает новые ноты и оттенки.
";;2;;;;;
;Smallberry;Земляника;"Сладкий, мягкий вкус лесной земляники отлично сочетается с другими ягодами и фруктами. Ароматика Small-berry отличается от классического представления земляничного вкуса своей округлостью и воздушностью.
";;2;;;;;
;Sour Cranberry;Клюква;"Sour Cranberry отлично подходит как для любителей кислых вкусов, так и для создания контрастности в миксах. Клюквенный аромат с приятной кислинкой раскрывается в процессе курения и приобретает множество разных оттенков. 
";;2;;;;;
;Spicy Cheese;Сыр Мед Орехи;"Многогранный вкус сыра в совокупности с медово-ореховыми нотами - еще одно гастрономическое решение от Spectrum. Мягкость и сливочность Spicy Cheese отлично подходит для миксов с пряностями и другой гастрономией. Яркий и насыщенный, детально проработанный вкус сыра отличается гармоничным сочетанием множества ароматов. 
";;2;;;;;
