 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
;Current Crush;Смородина;"Насыщенный вкус немного терпкой, натуральной и давно уже всем полюбившейся черной смородины. Уникальный вкус, который не похож на то, что вы пробовали раньше. Яркая сладость и освежающая кислинка покорят вас с первого же вдоха. Вкус отлично сочетается с другими ягодными, свежими и десертными вкусами, но не менее хорош и в соло.
";;4;;;;;
;Dragon Mix;Питайя Айва;"Вкус сочного драконьего фрукта в сочетании со спелой айвой, впечатлит даже самого искушенного гурмана свежей экзотической палитрой
";;4;;;;;
;Duchess;Дюшес Лимонад;"Насыщенный вкус грушевого лимонада, знакомый с детства. Многогранность груши сорта «Дюшес» создает полноценную вкусовую палитру со свойственной ей сладостью и нотками фруктовых ароматов.
";;4;;;;;
;Energy Storm;Энергетик Лимонад;"Яркий и сбалансированный аромат энергетического напитка с цитрусовыми нотами. Натуральный вкус с еле уловимыми оттенками лимона и апельсина, понравится всем любителям энергетиков. Идеальное соотношение кисло-сладкого вкуса с шипучкой взбодрит и зарядит положительной энергией на весь день. Отлично подойдет для ягодных, травянистых и пряных сочетаний.
";;4;;;;;
;Fire Wine;Пряное вино;"Пряный аромат красного вина. Обладает выдержанной сладостью и приятным привкусом благородных винных напитков. Используя Fire Wine можно полностью изменить классические ягодные и цитрусовые сочетания вкусов, придав им изысканные оттенки благородного напитка, либо же дополнить гастрономические ароматы.
";;4;;;;;
;Golden Kiwi;Киви;"Яркий вкус спелого киви. Насыщенный аромат зеленой ягоды отлично сочетаться с пряными, экзотическими и ягодными вкусами. Обладает умеренной крепостью и мягким послевкусием. Отлично подойдет, как для курения в соло, так и для создания разнообразных миксов. Любителям фруктовых сочетаний обязательно рекомендуем попробовать.
";;4;;;;;
;Granat;Гранат;"Насыщенный вкус спелого граната. На вдохе вы ощутите бодрящую кислинку, а на выдохе приятную, немного терпкую сладость. Умеренная кислость во вкусе будет расти пропорционально росту температуры во время курения. Granat отлично подойдет для создания, как ягодных, фруктовых, цитрусовых и гастрономических сочетаний, так и прекрасно покажет себя в чистом виде. Особенно рекомендуем попробовать его со вкусами Sweet Flower и Blue Berry.
";;4;;;;;
;Grape Soda;Виноград Лимонад;"Вкус сладкой виноградной газировки. Обладает интересным эффектом газирования и напоминает сладкое вино, с малой долей алкогольной ароматики при курении. Один из самых популярных вкусов не только в классической, но и крепкой линейке. Сладкий, ненавязчивый аромат Grape Soda отлично подойдет для ягодных, цитрусовых и алкогольных сочетаний, но отлично курится и в чистом виде.
";;4;;;;;
;Green Pop;Лед Лимонад;"Освежающий вкус кисло-сладкого лимонада с кусочками льда, напоминающий всеми известный лимонад Mountain Dew с добавлением сладко-травянистой мяты. Яркий цитрусовый вкус, который идеально курится в соло и миксах.
";;4;;;;;
;Greenwich;Грейпфрут Личи;"Аромат натурального плода личи с нотами цитрусов и превосходным цветочным оттенком перенесет вас на самые желанные географические координаты
";;4;;;;;
;Honeycomb;Фруктовый мед;"Сладкий, слегка терпкий аромат цветочного меда с оттенками свежих и сочных фруктов. Удивительно натуральный вкус, способный поразить самых искушенных ценителей, кому давно могли надоесть привычные ягодные и фруктовые ароматы. Фруктовый мед несомненно украсит любой ваш микс и внесет в него новые, интересные нотки. Отлично подойдет для гастрономических и десертных сочетаний.
";;4;;;;;
;Ice Fruit Gum;Лед Жвачка;"Яркий вкус фруктовой жвачки с нотками мятной прохлады. Сладость фруктов гармонично переплетается со свежестью и создает яркий тандем, который подходит как для миксов, так и для курения в соло. Благодаря яркой, насыщенной, фруктовой ароматике Ice Fruit Gum является одним из самых популярных вкусов Spectrum. Служит отличным дополнением к сладким миксам.
";;4;;;;;
;Jasmine Tea;Чай Жасмин;"Мягкий вкус зеленого чая со сладкими цветками жасмина. В меру сладкий и травянистый. По-разному раскрывается на низком и высоком температурном режиме, позволяя играть с вкусовыми нотами благодаря перепадам температуры. Можно использовать в чайных, ягодных, фруктовых и травянистых сочетаниях.
";;4;;;;;
;Jungle Mix;Тропические фрукты;"Яркие и насыщенные тропические фрукты, обладающие сладостью с еле заметной кислинкой на задних тонах. Переплетающиеся ароматы спелого ананаса, банана и цитрусов отлично подойдут для курения в соло или создания сладких, насыщенных миксов. 
";;4;;;;;
;Lemon Hurricane;Лимон;Освежающий, в меру сладкий вкус лимонных леденцов, которые дарят ощущение максимальной лёгкости. Очень схож со вкусом леденцов, которые вы выбираете из полной миски разноцветных конфет. Сочный аромат, который буквально обволакивает ваши рецепторы ярким вкусом сладости и лимона, идеально подходит для напиточных и десертных миксов.;;4;;;;;
;Morning Mango;Манго Каша;"Интересный вкус овсяной каши в сочетании с манго. Очень мягкий и ненавязчивый Morning Mango не только отлично миксуется с самыми разнообразными вкусами, но и прекрасно курится в соло. Округлость и законченность ароматической составляющей делает завтрак из овсяной каши с кусочками манго одним из топовых вкусов Spectrum.
";;4;;;;;
;Nutter;Орех Шоколад;"Насыщенный вкус сладкой ореховой пасты, с шоколадным послевкусием и нотками лесного ореха. Nutter придется по вкусу любителям десертных вкусов и станет прекрасным дополнением к любому ягодному миксу. Использование его в чаше в чистом виде также приветствуется.
";;4;;;;;
;Orange Mango;Апельсин Манго;"Идеальный баланс сладко-травянистого манго и кисло-сладкого апельсина никого не оставит равнодушным. Отлично демонстрирует себя, как без добавления других ароматов, так и в совокупности с ягодными и фруктовыми ароматами.
";;4;;;;;
;Pineapple Boom;Ананас Цитрус Апельсин;"Яркий вкус спелого тропического ананаса в сочетании с цитрусовыми ароматами создает взрывной вкус жаркого лета. Манящая кислинка, которая постепенно перетекает в приятную сладость в послевкусии сведут с ума любителя фруктовых сочетаний. Ароматика Pineapple Boom настолько правдоподобно передает запах настоящей спелой мякоти ананаса, то ее невозможно отличить, если закрыть глаза.
";;4;;;;;
;Russian Raspberry;Малина Клубника;"Сочетание сочной малины и сладкой клубники - ароматы многим знакомые с детства. Легкий вкус, который внесет яркие краски в любой микс. Прекрасно раскрывается в десертных и коктейльных миксах.
";;4;;;;;
;Smallberry;Земляника;"Насыщенный вкус лесной земляники, гармонично сочетающий в себе сладкий, кислый и свежий ароматы. Отлично сочетается с любыми ягодными, фруктовыми, десертными и цитрусовыми вкусами. Один из самых мягких аромат ягодной палитры Spectrum.
";;4;;;;;
;Sweet Flower;Роза;"Оригинальный аромат настоящей розы, с выраженными сладкими, травянистыми нотками. Свежесть лепестков розы оставляет теплое, вяжущее послевкусие. Необычный аромат благородного цветка станет хорошей основой для экспериментальных сочетаний ароматов. Подойдет для создания интересных травянистых, цитрусовых и десертных миксов.
";;4;;;;;
